"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Registration","0","0","The user can be registered by filling the registration form","0"
"1","","0","Simple registration form","0","0","The user can be registered by filling the simple registration form","0"
